,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
7009468,2008,12,13,6,1456.0,1122,1614.0,1210,DL,1223,N3735D,138.0,108.0,97.0,244.0,214.0,SLC,SNA,588,5.0,36.0,0,N,0,214.0,0.0,30.0,0.0,0.0
7009469,2008,12,13,6,1645.0,1255,1921.0,1548,DL,1224,N3735D,96.0,113.0,77.0,213.0,230.0,SNA,SLC,588,5.0,14.0,0,N,0,0.0,0.0,0.0,0.0,213.0
7009476,2008,12,13,6,1504.0,1355,1636.0,1536,DL,1236,N382DA,92.0,101.0,72.0,60.0,69.0,PHX,SLC,507,6.0,14.0,0,N,0,0.0,60.0,0.0,0.0,0.0
7009478,2008,12,13,6,1748.0,1722,1924.0,1905,DL,1238,N395DN,96.0,103.0,73.0,19.0,26.0,PHX,SLC,507,6.0,17.0,0,N,0,0.0,0.0,0.0,0.0,19.0
7009479,2008,12,13,6,2109.0,2013,2237.0,2120,DL,1239,N915DN,148.0,127.0,92.0,77.0,56.0,SLC,PDX,630,5.0,51.0,0,N,0,56.0,0.0,21.0,0.0,0.0
7009494,2008,12,13,6,1257.0,1105,1444.0,1222,DL,1261,N3740C,167.0,137.0,95.0,142.0,112.0,SLC,SEA,689,9.0,63.0,0,N,0,0.0,112.0,30.0,0.0,0.0
7009497,2008,12,13,6,1515.0,1302,1815.0,1600,DL,1264,N3761R,120.0,118.0,91.0,135.0,133.0,SEA,SLC,689,10.0,19.0,0,N,0,31.0,0.0,2.0,0.0,102.0
7009498,2008,12,13,6,1319.0,1155,1615.0,1427,DL,1265,N907DA,116.0,92.0,53.0,108.0,84.0,LAS,SLC,368,7.0,56.0,0,N,0,84.0,0.0,24.0,0.0,0.0
7009499,2008,12,13,6,2020.0,1925,2153.0,2046,DL,1267,N3739P,153.0,141.0,105.0,67.0,55.0,SLC,SEA,689,10.0,38.0,0,N,0,55.0,0.0,12.0,0.0,0.0
7009500,2008,12,13,6,945.0,934,1235.0,1203,DL,1270,N954DL,170.0,149.0,137.0,32.0,11.0,ATL,PWM,1027,5.0,28.0,0,N,0,0.0,0.0,21.0,0.0,11.0
7009506,2008,12,13,6,1150.0,1128,1414.0,1413,DL,1279,N962DL,144.0,165.0,126.0,1.0,22.0,BDL,ATL,859,10.0,8.0,0,N,0,,,,,
7009513,2008,12,13,6,1355.0,1345,1628.0,1629,DL,1285,N969DL,153.0,164.0,121.0,-1.0,10.0,JFK,ATL,760,10.0,22.0,0,N,0,,,,,
7009515,2008,12,13,6,1730.0,1654,1940.0,1922,DL,1287,N6708D,310.0,328.0,289.0,18.0,36.0,ATL,PDX,2172,6.0,15.0,0,N,0,18.0,0.0,0.0,0.0,0.0
7009520,2008,12,13,6,1805.0,1718,2023.0,1918,DL,1293,N908DL,138.0,120.0,98.0,65.0,47.0,ORF,ATL,516,33.0,7.0,0,N,0,0.0,0.0,18.0,0.0,47.0
7009548,2008,12,13,6,1618.0,1604,1929.0,1925,DL,1400,N946DL,131.0,141.0,101.0,4.0,14.0,SAT,ATL,874,14.0,16.0,0,N,0,,,,,
7009559,2008,12,13,6,1740.0,1725,1754.0,1743,DL,1414,N683DA,74.0,78.0,48.0,11.0,15.0,ATL,PNS,272,5.0,21.0,0,N,0,,,,,
7009581,2008,12,13,6,1523.0,1515,1822.0,1834,DL,1439,N634DL,179.0,199.0,159.0,-12.0,8.0,BOS,MCO,1121,6.0,14.0,0,N,0,,,,,
7009590,2008,12,13,6,1512.0,1440,1746.0,1743,DL,1451,N994DL,154.0,183.0,134.0,3.0,32.0,LGA,MCO,950,4.0,16.0,0,N,0,,,,,
7009592,2008,12,13,6,818.0,705,1119.0,1016,DL,1457,N933DL,181.0,191.0,152.0,63.0,73.0,LGA,FLL,1076,5.0,24.0,0,N,0,0.0,0.0,63.0,0.0,0.0
7009593,2008,12,13,6,1136.0,1056,1427.0,1356,DL,1458,N994DL,171.0,180.0,147.0,31.0,40.0,FLL,LGA,1076,5.0,19.0,0,N,0,0.0,0.0,0.0,0.0,31.0
7009594,2008,12,13,6,1108.0,1100,1356.0,1424,DL,1459,N955DL,168.0,204.0,147.0,-28.0,8.0,LGA,FLL,1076,3.0,18.0,0,N,0,,,,,
7009603,2008,12,13,6,1443.0,1336,1755.0,1652,DL,1470,N675DL,132.0,136.0,100.0,63.0,67.0,SAT,ATL,874,19.0,13.0,0,N,0,0.0,0.0,0.0,0.0,63.0
7009606,2008,12,13,6,1422.0,1355,2007.0,1929,DL,1476,N6702,225.0,214.0,175.0,38.0,27.0,SLC,ATL,1589,33.0,17.0,0,N,0,0.0,10.0,11.0,0.0,17.0
7009608,2008,12,13,6,1722.0,1646,2053.0,2027,DL,1477,N703TW,331.0,341.0,299.0,26.0,36.0,LAX,OGG,2486,4.0,28.0,0,N,0,26.0,0.0,0.0,0.0,0.0
7009617,2008,12,13,6,719.0,710,938.0,949,DL,1491,N935DL,199.0,219.0,179.0,-11.0,9.0,LGA,MSY,1183,5.0,15.0,0,N,0,,,,,
7009627,2008,12,13,6,753.0,735,1054.0,1043,DL,1503,N951DL,181.0,188.0,143.0,11.0,18.0,LGA,TPA,1011,5.0,33.0,0,N,0,,,,,
7009628,2008,12,13,6,1132.0,1125,1408.0,1404,DL,1504,N951DL,156.0,159.0,135.0,4.0,7.0,TPA,LGA,1011,7.0,14.0,0,N,0,,,,,
7009634,2008,12,13,6,1159.0,1126,1908.0,1703,DL,1512,N6704Z,309.0,217.0,173.0,125.0,33.0,SLC,ATL,1589,24.0,112.0,0,N,0,0.0,19.0,92.0,0.0,14.0
7009646,2008,12,13,6,1100.0,1045,1350.0,1347,DL,1530,N920DL,110.0,122.0,91.0,3.0,15.0,MCI,ATL,692,7.0,12.0,0,N,0,,,,,
7009652,2008,12,13,6,1200.0,1150,1924.0,1921,DL,1538,N6710E,264.0,271.0,238.0,3.0,10.0,PDX,ATL,2172,11.0,15.0,0,N,0,,,,,
7009655,2008,12,13,6,955.0,934,1215.0,1155,DL,1542,N912DE,140.0,141.0,114.0,20.0,21.0,ATL,BDL,859,6.0,20.0,0,N,0,20.0,0.0,0.0,0.0,0.0
7009657,2008,12,13,6,1149.0,1048,1351.0,1235,DL,1547,N907DE,122.0,107.0,90.0,76.0,61.0,PBI,ATL,545,16.0,16.0,0,N,0,61.0,0.0,15.0,0.0,0.0
7009660,2008,12,13,6,1053.0,1000,1218.0,1141,DL,1550,N977DL,85.0,101.0,66.0,37.0,53.0,ATL,IND,432,5.0,14.0,0,N,0,37.0,0.0,0.0,0.0,0.0
7009664,2008,12,13,6,1251.0,1210,1434.0,1400,DL,1553,N979DL,103.0,110.0,90.0,34.0,41.0,ORF,ATL,516,6.0,7.0,0,N,0,0.0,0.0,0.0,0.0,34.0
7009666,2008,12,13,6,1025.0,950,1218.0,1130,DL,1554,N979DL,113.0,100.0,68.0,48.0,35.0,ATL,ORF,516,4.0,41.0,0,N,0,35.0,0.0,13.0,0.0,0.0
7009671,2008,12,13,6,1429.0,1355,1749.0,1729,DL,1563,N904DE,140.0,154.0,117.0,20.0,34.0,MSP,ATL,906,9.0,14.0,0,N,0,20.0,0.0,0.0,0.0,0.0
7009683,2008,12,13,6,2006.0,1954,2133.0,2109,DL,1586,N3735D,87.0,75.0,50.0,24.0,12.0,SLC,BOI,291,4.0,33.0,0,N,0,0.0,0.0,12.0,0.0,12.0
7009699,2008,12,13,6,1254.0,1221,1420.0,1359,DL,1609,N977DL,86.0,98.0,64.0,21.0,33.0,IND,ATL,432,9.0,13.0,0,N,0,0.0,0.0,0.0,0.0,21.0
7009701,2008,12,13,6,1528.0,1500,1720.0,1642,DL,1611,N395DN,112.0,102.0,79.0,38.0,28.0,SLC,PHX,507,4.0,29.0,0,N,0,16.0,0.0,10.0,0.0,12.0
7009702,2008,12,13,6,1531.0,1522,1822.0,1823,DL,1612,N916DN,111.0,121.0,88.0,-1.0,9.0,MCI,ATL,692,9.0,14.0,0,N,0,,,,,
7009705,2008,12,13,6,921.0,830,1112.0,1008,DL,1616,N907DE,111.0,98.0,82.0,64.0,51.0,ATL,PBI,545,8.0,21.0,0,N,0,51.0,0.0,13.0,0.0,0.0
7009709,2008,12,13,6,1552.0,1520,1735.0,1718,DL,1620,N905DE,43.0,58.0,27.0,17.0,32.0,HSV,ATL,151,9.0,7.0,0,N,0,0.0,0.0,0.0,0.0,17.0
7009710,2008,12,13,6,1250.0,1220,1617.0,1552,DL,1621,N938DL,147.0,152.0,120.0,25.0,30.0,MSP,ATL,906,9.0,18.0,0,N,0,3.0,0.0,0.0,0.0,22.0
7009717,2008,12,13,6,657.0,600,904.0,749,DL,1631,N3743H,127.0,109.0,78.0,75.0,57.0,RIC,ATL,481,15.0,34.0,0,N,0,0.0,57.0,18.0,0.0,0.0
7009718,2008,12,13,6,1007.0,847,1149.0,1010,DL,1631,N909DA,162.0,143.0,122.0,99.0,80.0,ATL,IAH,689,8.0,32.0,0,N,0,1.0,0.0,19.0,0.0,79.0
7009726,2008,12,13,6,1251.0,1240,1446.0,1437,DL,1639,N646DL,115.0,117.0,89.0,9.0,11.0,IAD,ATL,533,13.0,13.0,0,N,0,,,,,
7009727,2008,12,13,6,1110.0,1103,1413.0,1418,DL,1641,N908DL,123.0,135.0,104.0,-5.0,7.0,SAT,ATL,874,8.0,11.0,0,N,0,,,,,
